support,itemsets,length
0.006220527741547106,frozenset({'%'}),1
0.005116885722885522,frozenset({'Cajun seasoning'}),1
0.06371024380455503,frozenset({'Cheddar cheese'}),1
0.020668205076753286,frozenset({'Dijon mustard'}),1
0.005317547908096719,frozenset({'Italian parsley'}),1
0.008227149593659075,frozenset({'Italian sausage'}),1
0.016855623557740545,frozenset({'Italian seasoning'}),1
0.015049663890839771,frozenset({'Jack cheese'}),1
0.07003110263870774,frozenset({'Parmesan cheese'}),1
0.006722183204575098,frozenset({'Reggiano cheese'}),1
0.006120196648941507,frozenset({'Romano cheese'}),1
0.006722183204575098,frozenset({'Swiss cheese'}),1
0.012942710946122203,frozenset({'Worcestershire sauce'}),1
0.007725494130631083,frozenset({'almond extract'}),1
0.009029798334503862,frozenset({'almonds'}),1
0.006421189926758303,frozenset({'bacon'}),1
0.01645429918731815,frozenset({'balsamic vinegar'}),1
0.023878800040132438,frozenset({'basil'}),1
0.01384569077957259,frozenset({'bay leaf'}),1
0.014849001705628573,frozenset({'bay leaves'}),1
0.014247015149994983,frozenset({'beans'}),1
0.006922845389786295,frozenset({'beef'}),1
0.034012240393297886,frozenset({'bell pepper'}),1
0.014347346242600582,frozenset({'bite'}),1
0.011939400020066219,frozenset({'black beans'}),1
0.008628473964081469,frozenset({'black olives'}),1
0.32306611819002706,frozenset({'black pepper'}),1
0.005718872278519113,frozenset({'black peppercorns'}),1
0.01183906892746062,frozenset({'bone'}),1
0.006220527741547106,frozenset({'boneless'}),1
0.024480786595766028,frozenset({'boneless chicken breast halves'}),1
0.009732115982743051,frozenset({'boneless chicken breasts'}),1
0.005819203371124712,frozenset({'bottle'}),1
0.007625163038025484,frozenset({'bread crumbs'}),1
0.008628473964081469,frozenset({'broth'}),1
0.12160128423798536,frozenset({'brown sugar'}),1
0.012541386575699809,frozenset({'bunch'}),1
0.03551720678238186,frozenset({'butter'}),1
0.017658272298585333,frozenset({'cans'}),1
0.011036420186615832,frozenset({'carrot'}),1
0.03341025383766429,frozenset({'carrots'}),1
0.026487408447878,frozenset({'cayenne pepper'}),1
0.0195645630580917,frozenset({'celery'}),1
0.010233771445771044,frozenset({'chicken'}),1
0.005217216815491121,frozenset({'chicken broth'}),1
0.009732115982743051,frozenset({'chicken soup'}),1
0.005417879000702318,frozenset({'chile pepper'}),1
0.007023176482391893,frozenset({'chili powder'}),1
0.013946021872178188,frozenset({'chunks'}),1
