support,itemsets,length
0.11237082371827029,"frozenset({'black pepper', 'salt'})",2
0.08929467241898265,"frozenset({'black pepper', 'ground'})",2
0.07504765726898766,"frozenset({'ground', 'salt'})",2
0.06762315641617338,"frozenset({'powder', 'purpose flour'})",2
0.05618541185913514,"frozenset({'black pepper', 'onion'})",2
0.05508176984047356,"frozenset({'eggs', 'purpose flour'})",2
0.052974816895756,"frozenset({'cloves', 'black pepper'})",2
0.04835958663589846,"frozenset({'black pepper', 'purpose flour'})",2
0.04745660680244808,"frozenset({'black pepper', 'garlic powder'})",2
0.04534965385773051,"frozenset({'brown sugar', 'purpose flour'})",2
0.04504866057991372,"frozenset({'black pepper', 'kosher salt'})",2
0.04484799839470252,"frozenset({'salt', 'pepper'})",2
0.041236079060900974,"frozenset({'unsalted butter', 'purpose flour'})",2
0.039731112671817,"frozenset({'white sugar', 'purpose flour'})",2
0.03491522022674827,"frozenset({'purpose flour', 'large eggs'})",2
0.034513895856325874,"frozenset({'black pepper', 'Parmesan cheese'})",2
0.031202969800341127,"frozenset({'egg', 'purpose flour'})",2
0.03019965887428514,"frozenset({'cloves', 'salt'})",2
0.029296679040834755,"frozenset({'salt', 'onion'})",2
0.02889535467041236,"frozenset({'black pepper', 'package'})",2
